SN,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,Ashok Kumar Rawat,Bharatiya Janata Party,533562,867,534429,52.05
2,Dr Neelu Satyarthi,Bahujan Samaj Party,433110,647,433757,42.25
3,Manjari Rahi,Indian National Congress,26446,59,26505,2.58
4,Arun Kumari Kori,Pragatishil Samajwadi Party (Lohia),2429,13,2442,0.24
5,Nagendra Kumar,Rashtrawadi Shramjeevi Dal,1547,1,1548,0.15
6,Beerendra Kanaujiya,Hindusthan Nirman Dal,1556,1,1557,0.15
7,Rahul Kumar,Bhartiya Krishak Dal,911,0,911,0.09
8,Arpit,Independent,1002,0,1002,0.1
9,Arvind Kumar,Independent,939,0,939,0.09
10,Akash Niraj,Independent,1939,0,1939,0.19
11,Raju Verma,Independent,1303,0,1303,0.13
12,Rampal,Independent,2221,0,2221,0.22
13,Shripal Verma,Independent,7934,0,7934,0.77
14,NOTA,None of the Above,10164,17,10181,0.99
,Total, ,1025063,1605,1026668,
