SN,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,Kaushal Kishore,Bharatiya Janata Party,626972,2776,629748,49.62
2,R. K. Chaudhary,Indian National Congress,59632,429,60061,4.73
3,C. L. Verma,Bahujan Samaj Party,537172,2347,539519,42.51
4,Ganesh Rawat,Pragatishil Samajwadi Party (Lohia),7954,21,7975,0.63
5,Jagdish Prasad Gautam,Manavtawadi Samaj Party,1441,2,1443,0.11
6,Radha Ambedkar,Peoples Party of India (Democratic),1219,0,1219,0.1
7,Ram Sagar Paasi,Samdarshi Samaj Party,1510,5,1515,0.12
8,Shatrohan Lal Rawat,Lok Dal,2629,4,2633,0.21
9,Sushil Kumar,Aadarsh Sangram Party,4281,0,4281,0.34
10,Jagdish Rawat,Independent,3060,2,3062,0.24
11,Prabhawati Devi,Independent,4329,3,4332,0.34
12,Ramesh Kumar,Independent,2462,0,2462,0.19
13,NOTA,None of the Above,10721,69,10790,0.85
,Total, ,1263382,5658,1269040,
