SN,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,IMRAN PRATAPGARHI,Indian National Congress,59117,81,59198,4.62
2,KUNWAR SARVESH KUMAR,Bharatiya Janata Party,549729,1809,551538,43.01
3,Dr. S.T. HASAN,Samajwadi Party,648817,599,649416,50.65
4,MOHD. ASLAM URF PASHA,Jan Shakti Dal,4593,1,4594,0.36
5,Tej Singh Seny,Rashtriya Samanta Dal,761,1,762,0.06
6,DILERAM,Bhartiya Harit Party,1886,0,1886,0.15
7,NADIR ALI MANSOORI,Peace Party,1046,5,1051,0.08
8,BHISHM JIT SINGH,Fauji Janta Party,560,4,564,0.04
9,ROOPCHAND SINGH,Bharatiya Bahujan Samta Party,931,17,948,0.07
10,AKEEL,Independent,890,0,890,0.07
11,NARESH KUMAR SAINI,Independent,911,1,912,0.07
12,PRINCE KUMAR SHARMA,Independent,2271,2,2273,0.18
13,MUSARRAT HUSAIN,Independent,2417,0,2417,0.19
14,NOTA,None of the Above,5740,17,5757,0.45
,Total, ,1279669,2537,1282206,
