SN,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,Keshari Devi Patel,Bharatiya Janata Party,542398,2303,544701,55.68
2,Pandhari Yadav,Samajwadi Party,371318,1415,372733,38.1
3,Pankaj Patel,Indian National Congress,32617,144,32761,3.35
4,Atul Kumar Dwivedi,Lok Gathbandhan Party,1398,8,1406,0.14
5,Kamala Prasad,Ambedkar Yug Party,916,5,921,0.09
6,Dakkhini Prasad Kushwaha,Rashtriya Garib Dal,974,1,975,0.1
7,Priya Singh Paul Alias Priyadarshini Gandhi,Pragatishil Samajwadi Party (Lohia),1602,5,1607,0.16
8,Ramnath Priydarshi Suman,Rashtriya Janmat Party,2058,0,2058,0.21
9,Dr. Ramlakhan Chaurasiya,Moulik Adhikar Party,1965,1,1966,0.2
10,Srichandra Kesarwani (Advocate),Baliraja Party,1261,1,1262,0.13
11,Sunil Kumar Maurya,Pragatisheel Samaj Party,2185,4,2189,0.22
12,Sanjeev Kumar Mishra,Yuva Vikas Party,2858,0,2858,0.29
13,Rishabh Pandey,Independent,1945,0,1945,0.2
14,Dr. Neeraj,Independent,2969,3,2972,0.3
15,NOTA,None of the Above,7862,20,7882,0.81
,Total, ,974326,3910,978236,
