SN,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,Feroze Varun Gandhi,Bharatiya Janata Party,702755,1794,704549,59.38
2,Hemraj Verma,Samajwadi Party,447140,1782,448922,37.83
3,Anita Tripathi,Shivsena,3961,13,3974,0.33
4,Dr. Bharat,Janata Dal (United),1606,18,1624,0.14
5,Dr. Sita Ram Rajput,Sabka Dal United,1097,1,1098,0.09
6,Sanjay Kumar Bharti,Naitik Party,689,7,696,0.06
7,Md. Hanif,Pragatishil Samajwadi Party (Lohia),1275,1,1276,0.11
8,Urvashi Singh,Independent,861,3,864,0.07
9,Kaif Raza Khan,Independent,924,2,926,0.08
10,Jafri Begum,Independent,1627,6,1633,0.14
11,Munesh Singh,Independent,2128,1,2129,0.18
12,Varun Gandhi,Independent,4471,12,4483,0.38
13,Surendra Kumar Gupta,Independent,4440,2,4442,0.37
14,NOTA,None of the Above,9916,57,9973,0.84
,Total, ,1182890,3699,1186589,
