SN,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,DINESH PRATAP SINGH,Bharatiya Janata Party,365839,1901,367740,38.36
2,SONIA GANDHI,Indian National Congress,533687,1231,534918,55.8
3,ASHOK PRATAP MAURYA,Aajad Bharat Party (Democratic),9449,10,9459,0.99
4,KIRAN CHAUDHARY,Bahujan Mukti Party,2629,22,2651,0.28
5,RAM NARAYAN,Voters Party International,1726,2,1728,0.18
6,RAM SINGH YADAV,Pragatishil Samajwadi Party (Lohia),2282,23,2305,0.24
7,RAMESHVAR LODHI,Sabka Dal United,2117,2,2119,0.22
8,SUNEEL KUMAR,Peace Party,1770,1,1771,0.18
9,HORI LAL,Pragatisheel Samaj Party,3295,1,3296,0.34
10,NAIMISH PRATAP NARAYAN SINGH,Independent,1765,0,1765,0.18
11,PRAMENDRA KUMAR,Independent,2887,1,2888,0.3
12,PRAMOD KUREEL,Independent,3454,5,3459,0.36
13,VIJAY BAHADUR SINGH,Independent,2812,2,2814,0.29
14,SARTAJ KHAN,Independent,3333,0,3333,0.35
15,SURENDRA BAHADUR SINGH,Independent,8051,7,8058,0.84
16,NOTA,None of the Above,10225,27,10252,1.07
,Total, ,955321,3235,958556,
