SN,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,Jayaprada Nahata,Bharatiya Janata Party,448630,550,449180,42.34
2,Mohammad Azam Khan,Samajwadi Party,559018,159,559177,52.71
3,Sanjay Kapoor,Indian National Congress,34965,44,35009,3.3
4,Arshad Warsi,Minorities Democratic Party,1070,0,1070,0.1
5,Ishrat Khan,All India Minorities Front,499,0,499,0.05
6,Mohd. Khushi,United Democratic Front Secular,451,0,451,0.04
7,Saroj,Peoples Party of India (Democratic),647,5,652,0.06
8,Javed Khan,Independent,1963,0,1963,0.19
9,Naim,Independent,1518,0,1518,0.14
10,Sameena Begum,Independent,2122,0,2122,0.2
11,Haneef Khan,Independent,2703,0,2703,0.25
12,NOTA,None of the Above,6575,2,6577,0.62
,Total, ,1060161,760,1060921,
