SN,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,Amar Chandra Jauhar,Bahujan Samaj Party,417337,3235,420572,35.46
2,Arun Kumar Sagar,Bharatiya Janata Party,686352,2638,688990,58.09
3,Brahm Swaroop Sagar,Indian National Congress,35055,228,35283,2.97
4,Manish Chandra Kori,Communist Party of India,9462,2,9464,0.8
5,Kishan Lal,Sanyukt Vikas Party,2249,1,2250,0.19
6,Kuwar Pal Singh Gautam,Jan Seva Sahayak Party,1150,1,1151,0.1
7,Dharmvir Balmiki,Bhartiya Bhaichara Party,1155,4,1159,0.1
8,Narveer Fauji,Pragatishil Samajwadi Party (Lohia),2094,10,2104,0.18
9,Manohar Lal Saroj,Netaji Subhash Chander Bose Rashtriya Azad Party,2340,2,2342,0.2
10,Ramesh Chandra Verma,Manav Kranti Party,1343,1,1344,0.11
11,Sohan Pal alias Sonpal,Bhartiya Krishak Dal,1711,1,1712,0.14
12,Arun Kumar,Independent,2836,1,2837,0.24
13,Vineet,Independent,2604,0,2604,0.22
14,Shyamacharan,Independent,5308,0,5308,0.45
15,NOTA,None of the Above,8978,59,9037,0.76
,Total, ,1179974,6183,1186157,
