SN,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,"CHANDRA BHADRA SINGH ""SSONU""",Bahujan Samaj Party,444422,248,444670,44.45
2,MANEKA SANJAI GANDHI,Bharatiya Janata Party,458281,915,459196,45.91
3,Dr. SANJAY SINH,Indian National Congress,41588,93,41681,4.17
4,RISHABH SHRIVASTAVA,Bhartiya Hind Fauj,2424,3,2427,0.24
5,KAMLA DEVI,Pragatishil Samajwadi Party (Lohia),11484,10,11494,1.15
6,NASIR ALI,Bharat Prabhat Party,1246,0,1246,0.12
7,FIROJ AHAMAD,Kanshiram Bahujan Dal,1590,2,1592,0.16
8,MANJU LATA PAL,Aam Janta Party (India),2148,0,2148,0.21
9,SUNITA RAJBHAR,Suheldev Bharatiya Samaj Party,4270,1,4271,0.43
10,HARI LAL,Rastriya Insaaf Party,3265,0,3265,0.33
11,AKHILESH,Independent,1826,2,1828,0.18
12,ABU UMAIMA,Independent,1577,0,1577,0.16
13,MATHURA,Independent,2226,0,2226,0.22
14,RAJ KUMAR,Independent,5756,0,5756,0.58
15,VIRENDRA,Independent,7168,0,7168,0.72
16,NOTA,None of the Above,9770,1,9771,0.98
,Total, ,999041,1275,1000316,
