SN,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,Annu Tandon,Indian National Congress,185468,166,185634,15.01
2,Arun Shanker Shukla,Samajwadi Party,302263,288,302551,24.46
3,Swami Sakshi Ji Maharaj,Bharatiya Janata Party,702441,1066,703507,56.87
4,Umar Khan,Nagrik Ekta Party,11122,1,11123,0.9
5,Chedi Lal,Bharat Prabhat Party,3088,2,3090,0.25
6,Deepak Chaurasia,Janhit Kisan Party,5712,3,5715,0.46
7,Shailesh Kushwaha,Aajad Bharat Party (Democratic),3550,0,3550,0.29
8,Satish Kumar Shukla,Pragatishil Samajwadi Party (Lohia),6710,1,6711,0.54
9,Satyendra Nath Gaur,Independent,4003,2,4005,0.32
10,NOTA,None of the Above,11189,1,11190,0.9
,Total, ,1235546,1530,1237076,
