SN,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,Tirath Singh Rawat,Bharatiya Janata Party,487613,19367,506980,68.25
2,Manish Khanduri,Indian National Congress,202610,1701,204311,27.51
3,Dilendrr Pal Singh,Uttarakhand Kranti Dal (Democratic),5212,71,5283,0.71
4,Dr. Mukesh Semwal,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),1404,33,1437,0.19
5,Shanti Prasad Bhatt,Uttarakhand Kranti Dal,1877,74,1951,0.26
6,Anandmani Dutt Joshi,Independent,1429,24,1453,0.2
7,Bhagwat Prasad,Independent,1581,20,1601,0.22
8,Dr. Ramendra Singh Bhandari,Independent,2165,25,2190,0.29
9,Vinod Prasad Notiyal,Independent,5277,25,5302,0.71
10,NOTA,None of the Above,12181,95,12276,1.65
,Total, ,721349,21435,742784,
