SN,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,Dr. Antriksh Saini,Bahujan Samaj Party,173169,359,173528,13.65
2,Ambrish Kumar,Indian National Congress,406264,681,406945,32.02
3,Ramesh Pokhriyal 'Nishank',Bharatiya Janata Party,661050,4624,665674,52.37
4,Tribirendra Singh Rawat,Uttarakhand Kranti Dal (Democratic),3539,34,3573,0.28
5,Narendra Chauhan,Bhartiya Sarvodaya Party,935,2,937,0.07
6,Furkan Ali Advocate,Pragatishil Samajwadi Party (Lohia),705,2,707,0.06
7,Bhanpal Singh,Bahujan Mukti Party,801,2,803,0.06
8,Reenu,Hindusthan Nirman Dal,884,13,897,0.07
9,Lalit Kumar,Peoples Party of India (Democratic),734,4,738,0.06
10,Surendra Kumar Upadhayay,Uttarakhand Kranti Dal,1653,9,1662,0.13
11,Aadil,Independent,1315,4,1319,0.1
12,Dharmendra,Independent,1133,1,1134,0.09
13,Bachi Singh,Independent,1365,2,1367,0.11
14,"Thakur Manish Singh (Verma) ""Swabhimani""",Independent,2910,3,2913,0.23
15,Shishupal Singh,Independent,2549,3,2552,0.2
16,NOTA,None of the Above,6207,74,6281,0.49
,Total, ,1265213,5817,1271030,
