SN,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,PRITAM SINGH,Indian National Congress,262171,2576,264747,30.22
2,MALA RAJYA LAXMI SHAH,Bharatiya Janata Party,556120,9213,565333,64.53
3,RAJENDRA PUROHIT,Communist Party of India (Marxist),6605,21,6626,0.76
4,SATYAPAL,Bahujan Samaj Party,4498,84,4582,0.52
5,ANU PANT,Uttarakhand Kranti Dal (Democratic),708,15,723,0.08
6,GAUTAM SINGH BISHT,Sarv Vikas Party,673,15,688,0.08
7,JAY PRAKASH UPADHYAY,Uttarakhand Kranti Dal,1146,11,1157,0.13
8,(CA) SANJAY KUNDALIYA,Uttarakhand Pragatisheel Party,1090,8,1098,0.13
9,GOPAL MANI,Independent,10540,146,10686,1.22
10,DAULAT KUNWAR,Independent,1374,25,1399,0.16
11,BRIJ BHUSHAN KARANWAL,Independent,1953,9,1962,0.22
12,BARHM DEV JHA,Independent,1444,2,1446,0.17
13,MADHU SHAH,Independent,1470,13,1483,0.17
14,SANJAY GOYAL,Independent,2405,1,2406,0.27
15,SARDAR KHAN (PAPPU),Independent,5454,3,5457,0.62
16,NOTA,None of the Above,6155,121,6276,0.72
,Total, ,863806,12263,876069,
