SN,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,GOURANGA CHATTERJEE,Communist Party of India (Marxist),87553,55,87608,7.08
2,BABUL SUPRIYO,Bharatiya Janata Party,632727,651,633378,51.16
3,BISWARUP MONDAL,Indian National Congress,21019,19,21038,1.7
4,MOON MOON SEN,All India Trinamool Congress,435584,157,435741,35.19
5,SANDIP SARKAR,Bahujan Samaj Party,7859,1,7860,0.63
6,ABHISHEKH KUMAR SINGH,Shivsena,5757,4,5761,0.47
7,AMARNATH CHOWDHURY,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),4383,0,4383,0.35
8,MD. ZAHIR ALAM,Bahujan Mukti Party,12677,0,12677,1.02
9,KAJAL BANERJEE,Independent,5176,0,5176,0.42
10,Swaraj Das (BAPI),Independent,10065,1,10066,0.81
11,NOTA,None of the Above,14432,15,14447,1.17
,Total, ,1237232,903,1238135,
