SN,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,ADHIR RANJAN CHOWDHURY,Indian National Congress,589580,1526,591106,45.47
2,APURBA SARKAR (DAVID),All India Trinamool Congress,509886,524,510410,39.26
3,ID MOHAMMAD,Revolutionary Socialist Party,13342,20,13362,1.03
4,KUSHADHAJ BALA,Bahujan Samaj Party,2892,22,2914,0.22
5,KRISHNA JOYARDAR,Bharatiya Janata Party,141231,1807,143038,11
6,ANISUL AMBIA,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),2634,8,2642,0.2
7,ASISH SINGHA,Shivsena,1210,7,1217,0.09
8,KASHINATH DUTTA,Republican Party of India (A),1798,5,1803,0.14
9,MD EZARUDDIN,Jamat-E-Seratul Mustakim,3040,6,3046,0.23
10,DURBADAL DAS,Independent,2691,0,2691,0.21
11,SAMIR BISWAS,Independent,13681,1,13682,1.05
12,NOTA,None of the Above,14072,14,14086,1.08
,Total, ,1296057,3940,1299997,
