SN,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,AMIYA PATRA,Communist Party of India (Marxist),100014,268,100282,7.31
2,MAHADEB BAURI,Bahujan Samaj Party,6689,18,6707,0.49
3,SUBRATA MUKHERJEE,All India Trinamool Congress,500122,864,500986,36.52
4,DR. SUBHAS SARKAR,Bharatiya Janata Party,672202,3117,675319,49.23
5,ANIMESH MAL,Bharatiya Nyay-Adhikar Raksha Party,9119,4,9123,0.67
6,ANANDA KUMAR SAREN,Rashtriya Janadhikar Suraksha Party,3220,8,3228,0.24
7,GOUR CHANDRA (AKHAN) HEMBRAM,Jharkhand People's Party,2212,8,2220,0.16
8,DR. TANMAY MANDAL,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),5662,17,5679,0.41
9,PRABIR BANERJEE,Jharkhand Anushilan Party,4158,6,4164,0.3
10,SUKCHAND SAREN,Communist Party of India (Marxist-Leninist) Red Star,2885,4,2889,0.21
11,SUBHASH SARKAR,Shivsena,9057,15,9072,0.66
12,ABDUL RAHIM MALLIK,Independent,5818,1,5819,0.42
13,BIBHUTI SARDAR,Independent,12369,3,12372,0.9
14,MILAN MANDI,Independent,14937,5,14942,1.09
15,SHYAMAL KUMAR PALIT,Independent,5034,0,5034,0.37
16,NOTA,None of the Above,13987,32,14019,1.02
,Total, ,1367485,4370,1371855,
