SN,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,Dr. Kakoli Ghoshdastidar,All India Trinamool Congress,647459,625,648084,46.47
2,Mrinal Kanti Debnath,Bharatiya Janata Party,536921,1180,538101,38.58
3,Sukumar Bala,Bahujan Samaj Party,9730,10,9740,0.7
4,Subrata Dutta,Indian National Congress,37230,41,37271,2.67
5,Haripada Biswas,All India Forward Bloc,123723,251,123974,8.89
6,Oli Mahammad Mallick,Communist Party of India (Marxist-Leninist) Red Star,1294,12,1306,0.09
7,Tushar Ghosh,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),1754,0,1754,0.13
8,Dipankar Baidya,Rashtriya Janasachetan Party (R.J.P.),1274,3,1277,0.09
9,Debasish Biswas,Amra Bangalee,2348,0,2348,0.17
10,Bani Chakraborty,Shivsena,3115,1,3116,0.22
11,Saurav Basu,Rashtriya Janadhikar Suraksha Party,4424,1,4425,0.32
12,Mrinal Kanti Bhattacharjee,Independent,5598,3,5601,0.4
13,NOTA,None of the Above,17737,32,17769,1.27
,Total, ,1392607,2159,1394766,
