SN,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,Abul Kashem Dhali,Bahujan Samaj Party,4671,9,4680,0.33
2,Quazi Abdur Rahim,Indian National Congress,104137,46,104183,7.27
3,Nusrat Jahan Ruhi,All India Trinamool Congress,781920,158,782078,54.56
4,Pallab Sengupta,Communist Party of India,68278,38,68316,4.77
5,Sayantan Basu,Bharatiya Janata Party,431105,604,431709,30.12
6,Ajay Kumar Bain,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),3824,0,3824,0.27
7,Imamul Hasan Mallik,Bharatiya Nyay-Adhikar Raksha Party,1608,1,1609,0.11
8,Md. Tabarok Hossain Molla,All India Labour Party,2707,0,2707,0.19
9,Mizanoor Rahaman,Independent,2375,0,2375,0.17
10,Amiya Sarkar,Independent,4062,3,4065,0.28
11,Abdul Hannan Sardar,Independent,3433,0,3433,0.24
12,Parimal Mistri,Independent,10953,0,10953,0.76
13,Subhasis Kumar Bhowmik,Independent,4301,0,4301,0.3
14,NOTA,None of the Above,9102,4,9106,0.64
,Total, ,1432476,863,1433339,
