SN,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,ADHIKARY PARESH CHANDRA,All India Trinamool Congress,676339,1024,677363,44.43
2,GOBINDA CHANDRA ROY,All India Forward Bloc,46648,162,46810,3.07
3,NISITH PRAMANIK,Bharatiya Janata Party,728634,2960,731594,47.98
4,PIYA ROY CHOWDHURY,Indian National Congress,28087,128,28215,1.85
5,KANGSA RAJ BARMAN,Kamatapur People’s Party (United),2066,12,2078,0.14
6,DHANANJOY BARMAN,Welfare Party Of India,1729,4,1733,0.11
7,PRABHAT ROY,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),3169,5,3174,0.21
8,SUBODH BARMAN,Amra Bangalee,1930,5,1935,0.13
9,NARESH CHANDRA ROY,Independent,4068,9,4077,0.27
10,NIRMAL KUMAR ROY,Independent,7068,1,7069,0.46
11,HAREKRISHNA SARKAR,Independent,6144,1,6145,0.4
12,NOTA,None of the Above,14470,20,14490,0.95
,Total, ,1520352,4331,1524683,
