SN,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,ABHISHEK BANERJEE,All India Trinamool Congress,790725,402,791127,56.15
2,NILANJAN ROY,Bharatiya Janata Party,470047,486,470533,33.39
3,Dr. FUAD HALIM,Communist Party of India (Marxist),93833,108,93941,6.67
4,MD. GORIBULLA MOLLA,Bahujan Samaj Party,2907,4,2911,0.21
5,SOUMYA AICH ROY,Indian National Congress,19819,9,19828,1.41
6,AJAY GHOSH,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),1846,0,1846,0.13
7,SANTOSH KUMAR,Shivsena,2252,0,2252,0.16
8,SWARNALATA SARKAR,Bharatiya Nyay-Adhikar Raksha Party,2018,0,2018,0.14
9,PRABIR SARKAR,Independent,2743,1,2744,0.19
10,SUBRATA BOSE,Independent,5555,0,5555,0.39
11,NOTA,None of the Above,16242,5,16247,1.15
,Total, ,1407987,1015,1409002,
