SN,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,NARESH CHANDRA BARUI,Bahujan Samaj Party,4967,7,4974,0.41
2,NEPALDEB BHATTACHARYA,Communist Party of India (Marxist),167249,341,167590,13.91
3,SAMIK BHATTACHARYA,Bharatiya Janata Party,458270,790,459060,38.11
4,SOUGATA RAY,All India Trinamool Congress,511707,355,512062,42.51
5,SAURAV SAHA,Indian National Congress,29066,31,29097,2.42
6,AMIT SENGUPTA,Rashtriya Janasachetan Party (R.J.P.),1186,0,1186,0.1
7,INDRANIL BANERJEE,Shivsena,2394,1,2395,0.2
8,JHUMA SAHA,Party for Democratic Socialism,1703,2,1705,0.14
9,TARUN KUMAR DAS,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),2436,1,2437,0.2
10,SHANKAR DAS,Communist Party of India (Marxist-Leninist) Red Star,4379,0,4379,0.36
11,SATYA BRATA BANDYOPADHYAY,Rashtriya Janadhikar Suraksha Party,2964,0,2964,0.25
12,SUBIR DAS,New Democratic Party of India,2320,0,2320,0.19
13,NOTA,None of the Above,14466,25,14491,1.2
,Total, ,1203107,1553,1204660,
