SN,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,PRATUL CHANDRA SAHA,Indian National Congress,25329,45,25374,1.74
2,PRADIP SAHA,Communist Party of India (Marxist),121329,259,121588,8.34
3,VIJAY KUMAR MAHATO,Bahujan Samaj Party,5125,13,5138,0.35
4,DR. RATNA DE (NAG),All India Trinamool Congress,597482,604,598086,41.03
5,LOCKET CHATTERJEE,Bharatiya Janata Party,670031,1417,671448,46.06
6,BHASKAR GHOSH,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),8079,3,8082,0.55
7,SAJAL ADHIKARI,Communist Party of India (Marxist-Leninist) (Liberation),8010,2,8012,0.55
8,DULAL CH. HEMBRAM,Independent,3078,2,3080,0.21
9,NOOR HOSSAIN MONDAL,Independent,3507,2,3509,0.24
10,NOTA,None of the Above,13498,27,13525,0.93
,Total, ,1455468,2374,1457842,
