SN,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,ANUPAM HAZRA,Bharatiya Janata Party,392610,623,393233,27.37
2,BIKASH RANJAN BHATTACHARYYA,Communist Party of India (Marxist),301560,704,302264,21.04
3,BIMAL KRISHNA MANDAL,Bahujan Samaj Party,5112,2,5114,0.36
4,MIMI CHAKRABORTY,All India Trinamool Congress,687773,699,688472,47.91
5,ANURADHA PUTATUNDA,Party for Democratic Socialism,5549,0,5549,0.39
6,GOPAL NASKAR,Rashtriya Janasachetan Party (R.J.P.),1342,1,1343,0.09
7,DR NAZRUL ISLAM,Mulnibasi Party of India,1601,4,1605,0.11
8,RUPA KHAN,Bharatiya Nyay-Adhikar Raksha Party,1667,0,1667,0.12
9,SUJATA BANERJEE,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),4345,9,4354,0.3
10,ATANU CHATTERJEE,Independent,2345,0,2345,0.16
11,KARTIK KAYAL,Independent,9378,0,9378,0.65
12,KARTICK NASKAR,Independent,2554,0,2554,0.18
13,MANGAL KUMAR SARDAR,Independent,3474,1,3475,0.24
14,NOTA,None of the Above,15516,25,15541,1.08
,Total, ,1434826,2068,1436894,
