SN,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,DR. ASHOK KANDARY,Bharatiya Janata Party,444040,387,444427,32.77
2,TAPAN MONDAL,Indian National Congress,18746,12,18758,1.38
3,PRATIMA MONDAL,All India Trinamool Congress,760934,268,761202,56.13
4,SANKAR DEB MONDAL,Bahujan Samaj Party,8531,2,8533,0.63
5,SUBHAS NASKAR,Revolutionary Socialist Party,67880,33,67913,5.01
6,ASHOKE BAIRAGI,New Democratic Party of India,3267,0,3267,0.24
7,JAYKRISHNA HALDAR,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),38258,3,38261,2.82
8,SWAPAN KUMAR MANDAL,Rashtriya Janasachetan Party (R.J.P.),3298,0,3298,0.24
9,NOTA,None of the Above,10437,6,10443,0.77
,Total, ,1355391,711,1356102,
