SN,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,BANDYOPADHYAY SUDIP,All India Trinamool Congress,474490,401,474891,49.96
2,KANINIKA BOSE (GHOSH),Communist Party of India (Marxist),70848,232,71080,7.48
3,OMPRAKASH PRAJAPATI,Bahujan Samaj Party,2594,3,2597,0.27
4,RAHUL (BISWAJIT) SINHA,Bharatiya Janata Party,347307,489,347796,36.59
5,SYED SHAHID IMAM,Indian National Congress,26072,21,26093,2.74
6,BIJNAN KUMAR BERA,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),1314,1,1315,0.14
7,JOYDEB DAS,Bharateeya Manavadhikar party,480,0,480,0.05
8,MANAS MAJUMDER,Shivsena,901,0,901,0.09
9,MANMOHAN GARODIA,Rashtriya Ahinsa Manch,440,0,440,0.05
10,MD IMTIAZ KHAN,Bharat Prabhat Party,418,0,418,0.04
11,MIR TIPU SULTAN ALI,Party for Democratic Socialism,503,0,503,0.05
12,NARESH KR SINGH,Jan Sangh Party,712,0,712,0.07
13,RATHINDRA NATH ROY,Purvanchal Janta Party (Secular),1602,0,1602,0.17
14,RINKU GUPTA,Pyramid Party of India,965,0,965,0.1
15,SUBHASH VERMA,Jan Sangharsh Virat Party,1301,0,1301,0.14
16,ANUJIT KUMAR NAN,Independent,5737,0,5737,0.6
17,DEBJIT ROY CHOWDHURY,Independent,3713,0,3713,0.39
18,KALIPADA JANA,Independent,923,1,924,0.1
19,PANNA LAL SHAW,Independent,599,0,599,0.06
20,SUMANTA BHOWMICK,Independent,1301,0,1301,0.14
21,UTPAL BISWAS,Independent,509,0,509,0.05
22,NOTA,None of the Above,6724,12,6736,0.71
,Total, ,949453,1160,950613,
