SN,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,INTAJ ALI SHAH,Indian National Congress,38116,189,38305,2.8
2,UDDHAB ROY,Bahujan Samaj Party,4166,33,4199,0.31
3,KALYAN CHAUBEY,Bharatiya Janata Party,548248,3406,551654,40.37
4,JHA SHANTANU,Communist Party of India (Marxist),120016,206,120222,8.8
5,MAHUA MOITRA,All India Trinamool Congress,613652,1220,614872,45
6,KHODABOX SHAIKH,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),8096,16,8112,0.59
7,JAYANTO DEBNATH,Aihra National Party,2218,7,2225,0.16
8,SUBIMAL SENGUPTA,Communist Party of India (Marxist-Leninist) (Liberation),7581,4,7585,0.56
9,ASHOK AGARWALA (LALU DA),Independent,2963,4,2967,0.22
10,NIRAPADA MODAK,Independent,6512,0,6512,0.48
11,BHASKAR PAUL,Independent,2279,3,2282,0.17
12,NOTA,None of the Above,7484,24,7508,0.55
,Total, ,1361331,5112,1366443,
