SN,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,ABU HASEM KHAN CHOWDHURY (DALU),Indian National Congress,443540,730,444270,34.73
2,FULCHAND MANDAL,Bahujan Samaj Party,6171,19,6190,0.48
3,MD. MOAZZEM HOSSAIN,All India Trinamool Congress,350374,979,351353,27.47
4,SREERUPA MITRA CHAUDHURY,Bharatiya Janata Party,434003,2045,436048,34.09
5,ANGSHUDHAR MANDAL,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),5600,5,5605,0.44
6,NASMUL HOQUE,Party for Democratic Socialism,2416,1,2417,0.19
7,PAPPU AHAMED,Aihra National Party,2415,0,2415,0.19
8,MANJUR ALAHI MUNSHI,Independent,5542,1,5543,0.43
9,RATAN MANDAL,Independent,9428,2,9430,0.74
10,HASIM AKHTAR,Independent,3866,3,3869,0.3
11,NOTA,None of the Above,12043,19,12062,0.94
,Total, ,1275398,3804,1279202,
