SN,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,ISHA KHAN CHOUDHURY,Indian National Congress,304964,306,305270,22.53
2,KHAGEN MURMU,Bharatiya Janata Party,507798,1726,509524,37.61
3,NITISH KUMAR MANDAL,Bahujan Samaj Party,6332,15,6347,0.47
4,BISWANATH GHOSH,Communist Party of India (Marxist),50315,86,50401,3.72
5,MAUSAM NOOR,All India Trinamool Congress,424517,719,425236,31.39
6,ARJUN KESHARI,Shivsena,4985,0,4985,0.37
7,NITYA DAS,Aihra National Party,1469,1,1470,0.11
8,MONATAN HEMBRAM,Bahujan Mukti Party,5981,4,5985,0.44
9,JOSEPH KISKU,Jharkhand Mukti Morcha,1917,3,1920,0.14
10,SUBHASH BARMAN,Kamatapur People’s Party (United),1641,1,1642,0.12
11,SUBHASH SARKAR,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),2029,1,2030,0.15
12,AL MONOWARA BEGAM,Independent,7225,0,7225,0.53
13,ALAM NOORSED,Independent,2534,1,2535,0.19
14,NIMAI BESARA,Independent,3090,0,3090,0.23
15,MD. DULAL HOQUE,Independent,5534,0,5534,0.41
16,MOHAN HASDA,Independent,13471,2,13473,0.99
17,NOTA,None of the Above,8028,11,8039,0.59
,Total, ,1351830,2876,1354706,
