SN,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,KRITTIBAS SARDAR,Indian National Congress,32299,25,32324,2.31
2,CHOUDHURY MOHAN JATUA,All India Trinamool Congress,726463,365,726828,51.84
3,DR. SARAT CHANDRA HALDAR,Communist Party of India (Marxist),92372,45,92417,6.59
4,SHYAMAPRASAD HALDER,Bharatiya Janata Party,522267,587,522854,37.29
5,SOUMEN SARKAR,Bahujan Samaj Party,4633,1,4634,0.33
6,AMITAV NASKAR,New Democratic Party of India,1493,1,1494,0.11
7,PURNA CHANDRA NAIYA,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),6690,2,6692,0.48
8,ASIT KUMAR HALDAR,Independent,1750,2,1752,0.12
9,PRONAB KUMAR JATUA,Independent,6048,0,6048,0.43
10,NOTA,None of the Above,6904,6,6910,0.49
,Total, ,1400919,1034,1401953,
