SN,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,Dilip Ghosh,Bharatiya Janata Party,683285,2148,685433,48.62
2,Biplab Bhatta,Communist Party of India,62232,87,62319,4.42
3,Manas Ranjan Bhunia,All India Trinamool Congress,595972,509,596481,42.31
4,Ramkrishna Sarkar,Bahujan Samaj Party,7558,10,7568,0.54
5,Sambhunath Chattapadhyay,Indian National Congress,20769,38,20807,1.48
6,Ashoke Sarkar,Shivsena,3087,6,3093,0.22
7,Tushar Jana,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),6598,5,6603,0.47
8,Rabindra Nath Bera,Amra Bangalee,8569,1,8570,0.61
9,Tapas Kumar Kar,Independent,4178,5,4183,0.3
10,NOTA,None of the Above,14729,29,14758,1.05
,Total, ,1406977,2838,1409815,
