SN,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,ABU TAHER KHAN,All India Trinamool Congress,604024,322,604346,41.57
2,"ABU HENA, S/O - LATE ABDUS SATTAR",Indian National Congress,377721,208,377929,26
3,BADARUDDOZA KHAN,Communist Party of India (Marxist),180662,131,180793,12.44
4,MIJANUL HAQUE,Bahujan Samaj Party,4509,12,4521,0.31
5,HUMAYUN KABIR,Bharatiya Janata Party,246745,1064,247809,17.05
6,KAMARUJJAMAN (BAKUL) KHANDEKAR,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),5649,6,5655,0.39
7,DHANANJOY SARKAR,Bahujan Mukti Party,1107,8,1115,0.08
8,MD. HABIBUR RAHAMAN,Jamat-E-Seratul Mustakim,2836,3,2839,0.2
9,"ABU HENA, S/O - SAZZAD ALI",Independent,2500,3,2503,0.17
10,MD. JALALUDDIN MONDAL,Independent,4040,0,4040,0.28
11,HUMAYUN KABIR SEKH,Independent,7178,2,7180,0.49
12,NOTA,None of the Above,15012,13,15025,1.03
,Total, ,1451983,1772,1453755,
