SN,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,ANANDI TUDU,Bahujan Samaj Party,11180,22,11202,0.83
2,JYOTIRMAY SINGH MAHATO,Bharatiya Janata Party,666016,2091,668107,49.3
3,NEPAL MAHATA,Indian National Congress,84366,111,84477,6.23
4,BIR SINGH MAHATO,All India Forward Bloc,68293,141,68434,5.05
5,Dr. MRIGANKA MAHATO,All India Trinamool Congress,462785,590,463375,34.19
6,UTTAM TANTUBAY,Bharateeya Manavadhikar party,6031,0,6031,0.45
7,JAWAHARLAL MAHATO,Mulnibasi Party of India,2450,2,2452,0.18
8,DIPENDU MAHATO,Jharkhand Mukti Morcha,1796,2,1798,0.13
9,RANGALAL KUMAR,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),4363,6,4369,0.32
10,RAJIB MAHATO,Shivsena,1661,0,1661,0.12
11,LAXMIKANTA MAHATA,Amra Bangalee,3499,4,3503,0.26
12,SEKH FATIK,Bharatiya Nyay-Adhikar Raksha Party,7777,0,7777,0.57
13,UMA CHARAN MAHATO,Independent,3875,1,3876,0.29
14,BARJURAM SINGH SARDAR,Independent,6512,4,6516,0.48
15,MRITYUNJOY MAHATO,Independent,10334,2,10336,0.76
16,NOTA,None of the Above,11304,18,11322,0.84
,Total, ,1352242,2994,1355236,
