SN,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,Adhikari Dibyendu,All India Trinamool Congress,723641,792,724433,50.08
2,Makhan Mahapatra,Bahujan Samaj Party,4480,16,4496,0.31
3,Lakshman Chandra Seth,Indian National Congress,15954,47,16001,1.11
4,Sidharthashankar Naskar,Bharatiya Janata Party,532844,1424,534268,36.94
5,Sk Ibrahim Ali,Communist Party of India (Marxist),135862,267,136129,9.41
6,Motyar Rahaman,Bharat Prabhat Party,1339,2,1341,0.09
7,Madhusudan Bera,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),5998,10,6008,0.42
8,Sankar Mondal,Rashtriya Jan Adhikar Party,1225,1,1226,0.08
9,Satadal Metya,Shivsena,3194,3,3197,0.22
10,Adak Sukomal,Independent,2486,0,2486,0.17
11,Dhananjoy Dalai,Independent,1631,0,1631,0.11
12,Marphat Ali Khan,Independent,4749,1,4750,0.33
13,NOTA,None of the Above,10513,20,10533,0.73
,Total, ,1443916,2583,1446499,
