SN,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,JOY BANERJEE,Bharatiya Janata Party,479016,570,479586,36.58
2,MAKSUDA KHATUN,Communist Party of India (Marxist),81149,165,81314,6.2
3,SAJDA AHMED,All India Trinamool Congress,694617,328,694945,53
4,Shoma Ranisree Roy,Indian National Congress,27555,13,27568,2.1
5,ALIMUDDIN NAZIR,Rashtriya Janadhikar Suraksha Party,2519,0,2519,0.19
6,MINATI SARKAR,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),1696,1,1697,0.13
7,SIMAL SAREN,Indian Unity Centre,2338,1,2339,0.18
8,Amal Barman,Independent,1885,0,1885,0.14
9,DURGADAS HAJRA,Independent,6770,0,6770,0.52
10,SUSANTA KUMAR DALUI,Independent,3077,0,3077,0.23
11,NOTA,None of the Above,9395,4,9399,0.72
,Total, ,1310017,1082,1311099,
